Pos;Solution;Nombre_noeuds;Temps
OBWGXRGBRGWYGXYOOYRRWRXORBBGGOWXORRWGOYGXYOBBBWWYXWYYB;(up,2,-1),(up,4,-1),(down,2,-1),(down,4,-1),(down,1,-1),;58.0;98.5209436416626
GGGOXRYYRYBRBXWYYBGGWRXWYYRGGWGXYWOOOOOOXWBRORRBBXWBBW;(up,1,-1),(up,2,-1),(down,4,-1),(up,3,-1),(down,3,1),(down,4,1),;72.0;106.57415699958801
YRGYXGGGWOOYYXRBBRROGBXGBBRRWWRXGWWWOWGYXROWYYYBOXBOOB;(down,4,1),(up,3,1),(down,1,-1),(up,2,1),(down,2,1),(down,1,1),;72.0;109.08775281906128
OYGOXGGGGGGYOXYOWYRRRRXBRYBWWWRXWROOOBYRXBBGBBOWBXWYYW;(down,4,1),(down,2,-1),(down,3,-1),(up,4,-1),(down,3,-1),(down,4,1),;72.0;106.88347601890564
GBOGXORGGYYGWXYYYYYRROXRRBBWGGYXRROOWOOBXRBGOBWWBXWBWW;(down,1,1),(down,3,1),(up,2,1),(up,4,-1),(down,2,-1),(up,1,1),(down,2,1),(up,2,-1),;100.0;141.1422152519226
GBOGXOGBRYYYYXBYRRRRWWXWBBBGGGGXRROOWOOGXOBWOYYWYXWBRW;(down,1,1),(down,3,1),(up,2,-1),(up,3,1),(up,4,-1),;58.0;83.84470653533936
YRGYXGYYGOOROXRYGRGGRBXBBWWWWWOXBBYBOYGWXGWWOYRRRXBBOO;(down,2,1),(up,4,1),(up,3,1),(up,1,-1),(down,3,-1),;58.0;83.91859030723572
GWWYXWYYGYRROXWOORGGRRXWBBWWOOBXOBBWGGOGXBORBYYRYXRYGB;(down,1,-1),(down,4,-1),(up,3,1),(up,1,-1),(up,4,1),;58.0;85.65970039367676
OOWBXRGRRGYYGXYBOYRWWRXWRRRGGOBXGWBBGYYYXWWOYBBBWXOOGO;(down,2,1),(up,2,-1),(down,1,-1),(down,4,1),(down,2,1),(down,3,-1),;72.0;104.9077558517456
OOOOXRGGWGBYGXYYYYROGRXORWWRBGWXGBGOWYYWXYBBOBRRBXRBWW;(up,4,-1),(up,2,1),(up,4,-1),(down,2,-1),(down,1,1),(down,3,1),;72.0;101.66192579269409
