Pos;Solution;Nombre_noeuds;Temps
OOGOXGGGGGGYGXYYYYRRRRXRRRRWWWWXWWWWOYYOXYOOOBBBBXBBBB;(down,2,-1),;1.0;0.05
OOOOXYGGGGGYGXYYYYRRRRXRRRRWOGWXGWWWWWYWXYOOOBBBBXBBBB;(down,1,1),(down,2,-1),;10.0;0.48
OWWOXWGGGGGYGXYYYYRRRRXRRRRWOOWXYWWWGGYOXYOOOBBBBXBBBB;(down,1,-1),(down,2,-1),;10.0;0.5
OOOOXYGGGGGYGXYYYYRRRRXRRRRWOGWXGWWWWWYWXYOOOBBBBXBBBB;(down,1,1),(down,2,-1),;10.0;0.5
OOORXYRRGGGGGXOYYYYYRGXRRRRWOGWXGWWWWWYWXYOOOBBBBXBBBB;(up,1,1),(down,1,1),(down,2,-1),;19.0;0.95
OOORXYRRGGGGGXOYYYYYRGXWRWWWOGBXGBBWWWYWXYOOOBRRBXRBBB;(up,4,1),(up,1,1),(down,1,1),(down,2,-1),;28.0;1.36
GGOGXYRRGYYGWXOYYYYYRGXWRWWWOGBXGBBWWROWXOOOOBRRBXRBBB;;;
GGOGXYRRGYYGBXOBBYYYRGXWRWWWOGBXGBBWWROWXYOWYBRROXROOB;;;
GGOGXYRRGYYGBXWBGRYYRRXWBOWWOGBXGBBWWROWXYOWYYBROXROOB;;;
YYOBXYRRGOYGRXWBGRYYRRXWBOWWOGBXGBBWWGGWXGOWYYBROXROOB;;;
YYOBXYRRGOYGRXWBGRYYRRXWBOWWOGBXRBOBWGGBXGWGYYBROXWOWO;;;
YYOYXYYRGORRRXBBGRGWRYXWBOWWOGBXRBOBWGGBXGWGYYBROXWOWO;;;
YYOYXYYRGORRRXBBGRGWRYXWBOWWOGBXGBBWWGGWXGOWYYBROXROOB;;;
YYOYXYYRGORRRXBBGRGWRYXBBBBWOGRXGRBWWGGWXGOWYYWWOXOOOB;;;
YYOYXYYRGORRRXBBGRGWRYXBBBBWOGRXOROBWGGBXGWGYYWWOXWOWO;;;
YYOYXWYBRORRRXBBGRGRWYXOBBBGRGYXOROBWGGBXGWGYYWWOXWOWO;;;
YYOYXWYBRORRRXOBWYGRWGXORBBGRGYXOROBWGGBXGWGYBYWBXWOWO;;;
YYOYXWYBRORRRXOBWYGRWGXYRWWGRGBXOBOBWGGBXGWGYBORBXYOWO;;;
YYORXWGGROBYRXYBWYROWRXYRWWGRGBXOBOBWGGBXGWGYBORBXYOWO;;;
YYORXWGGROBYRXYBWYROWRXYRWWGRGBXYBWOWGGOXGBOYBORBXGOBW;;;
YYORXBGRGOBYRXYBWYRWRRXGRWWWYGOXYBWOWGGOXGBOYBORBXGOBW;;;
YYORXBGRGOBYRXYBWYRWRRXGRWWWYGOXOBOBWGGBXGWGYBORBXYOWO;;;
YYORXOGYWOBYRXYBWYRBGRXRRWWRGGWXOBOBWGGBXGWGYBORBXYOWO;;;
GGOGXOGYWYYYRXYBWYRBGRXRRWWRGGWXOBOBWROBXBWGYBORBXYOWO;;;
GGOGXOGYWYYYRXWBRRRBGOXRBBWRGGWXOBOBWROBXBWGYYWRYXYOWO;;;
GGOGXOGYWYYYRXWBRRRBGOXRBBWRGGWXYBWOWROOXBBOYYWRYXGOBW;;;
GGGGXYGYWYYYRXWBRRRBGOXRBBWROWWXRBWOOOOGXBBOYYWRYXGOBW;;;
