Pos;Cout;Solution;Nombre_noeuds;NbCoups;Temps
YBGYXGROGOOGOXWYGRYWRRXRBOWWYWYXGBYOORGWXGBBOYBRRXBBWW;12;;-1;0;1562.257947
GRWRXYGYWYBYYXBBWYRBGWXGRGWROORXOBBBGWOGXRWWYBYRGXOOOO;15;;-1;0;1648.316742
YOWYXBYBWORRGXOBWYGOGGXBRBBRYORXWROOGYGRXYBRYBWWGXWOGW;17;;-1;0;1598.53518
GOOOXYYYRYBRGXYORRGBWOXGBRWGRGOXGBWWWWOWXYORBYGRWXBYBB;14;;-1;0;1805.884508
YROBXOROROYGBXWYBBYYWRXBYRBGGGRXWRYWWYGOXWOGORGWOXGBWB;18;;-1;0;1529.1018
YGGBXORRGOYGOXWOOYYYROXYRWWWBWGXBBBOORGWXGBGBBRRYXRYWW;19;;-1;0;1739.019256
YBOYXBYOGORRGXROYYGYRGXRRWWWWGWXOBBBWOGGXWWBBBORGXRYYO;20;;-1;0;1601.651721
OROBXWYYWGYROXRBWYGGGGXBRGBRRGRXOROBWYYGXBWWYBWWBXYOOO;17;;-1;0;1709.871627
GWOYXOYYWYRRRXRBWRGGGBXOBOBRGGYXBROOWBOYXGBWYYBWGXWORW;17;;-1;0;1804.708135
YGWGXBRRGOWGYXWYRBYYROXWYGWWYOBXOBGOGRGBXOBRORYRWXOBBW;18;;-1;0;1713.431028
YYOBXOGOWOWYOXBOOYRWGYXGRYBRGGRXWRBBWGGRXBWGBBRWYXRYWO;20;;-1;0;1717.144998
OBORXBRBGGGGOXWORRYRROXRBYRWYGWXGWWOWOYYXGBBBYOBYXGYWW;19;;-1;0;1561.225598
YGWYXGYBGOORBXWBBBGOROXRYGWWWOYXBBRBGRGWXYWOYRYRRXWOGO;20;;-1;0;1536.313964
GOWYXBGBRYOYGXYOGYRRWRXRRBBGYOWXRRBWGWOGXYOGBBWWOXOYWB;20;;-1;0;1602.49506
OWOWXRRRRGRGOXGBBYYYWYXWRWBGBGGXRRYWWBYGXGOYYBOWOXBOOB;17;;-1;0;1599.04559
GGWGXBGRRYYYBXYOBYRWWOXORORGWOWXOWWBGROGXYWYBBBBRXGYRO;18;;-1;0;1686.762895
OYOGXBGGGGWYWXOYORRRRBXRBBBWWGYXORRWWGYGXOOROYYWYXWBBB;19;;-1;0;1593.149121
YYOYXBYWWOOROXRYGBGGGGXOYYRRYGWXWWBOWGGRXBBBORRBOXRBWW;20;;-1;0;1649.695561
OYOWXOGGWGOYGXWOOBROGRXGYYWRBGRXBBYBWBYWXWWRBRRRYXGYBO;13;;-1;0;1595.559232
GOGOXOGWGYGYGXROORRBRBXYBGBWBWBXRRROOWOGXYBYBYWWYXWYRW;15;;-1;0;1657.631322
GGWRXWYRRYBRRXGBBYGYWWXYRBRGROGXYWOOGOOOXGBBYBYBOXWOWW;18;;-1;0;1550.983078
